INFO:root:Fall detected at hip height: 0.64, shoulder height: 0.27
INFO:root:Fall detected at hip height: 0.65, shoulder height: 0.26
INFO:root:Fall detected at hip height: 0.66, shoulder height: 0.26
INFO:root:Fall detected at hip height: 0.73, shoulder height: 0.27
INFO:root:Fall detected at hip height: 0.66, shoulder height: 0.29
INFO:root:Fall detected at hip height: 0.70, shoulder height: 0.27
INFO:root:Fall detected at hip height: 0.69, shoulder height: 0.27
INFO:root:Fall detected at hip height: 0.68, shoulder height: 0.27
INFO:root:Fall detected at hip height: 0.70, shoulder height: 0.26
INFO:root:Fall detected at hip height: 0.69, shoulder height: 0.27
INFO:root:Fall detected at hip height: 0.69, shoulder height: 0.27
INFO:root:Fall detected at hip height: 0.68, shoulder height: 0.27
INFO:root:Fall detected at hip height: 0.69, shoulder height: 0.27
INFO:root:Fall detected at hip height: 0.67, shoulder height: 0.27
INFO:root:Fall detected at hip height: 0.67, shoulder height: 0.28
INFO:root:Fall detected at hip height: 0.65, shoulder height: 0.28
INFO:root:Fall detected at hip height: 0.70, shoulder height: 0.28
INFO:root:Fall detected at hip height: 0.71, shoulder height: 0.28
INFO:root:Fall detected at hip height: 0.71, shoulder height: 0.27
INFO:root:Fall detected at hip height: 0.71, shoulder height: 0.27
INFO:root:Fall detected at hip height: 0.85, shoulder height: 0.27
INFO:root:Fall detected at hip height: 0.79, shoulder height: 0.27
INFO:root:Fall detected at hip height: 0.80, shoulder height: 0.27
INFO:root:Fall detected at hip height: 0.71, shoulder height: 0.27
INFO:root:Fall detected at hip height: 0.71, shoulder height: 0.27
INFO:root:Fall detected at hip height: 0.75, shoulder height: 0.27
INFO:root:Fall detected at hip height: 0.79, shoulder height: 0.28
INFO:root:Fall detected at hip height: 0.76, shoulder height: 0.28
INFO:root:Fall detected at hip height: 0.79, shoulder height: 0.28
INFO:root:Fall detected at hip height: 0.80, shoulder height: 0.28
INFO:root:Fall detected at hip height: 0.79, shoulder height: 0.28
INFO:root:Fall detected at hip height: 0.78, shoulder height: 0.28
INFO:root:Fall detected at hip height: 0.80, shoulder height: 0.29
INFO:root:Fall detected at hip height: 0.76, shoulder height: 0.28
INFO:root:Fall detected at hip height: 0.79, shoulder height: 0.29
INFO:root:Fall detected at hip height: 0.76, shoulder height: 0.28
INFO:root:Fall detected at hip height: 0.76, shoulder height: 0.28
INFO:root:Fall detected at hip height: 0.75, shoulder height: 0.28
INFO:root:Fall detected at hip height: 0.92, shoulder height: 0.29
INFO:root:Fall detected at hip height: 0.82, shoulder height: 0.29
INFO:root:Fall detected at hip height: 0.78, shoulder height: 0.29
INFO:root:Fall detected at hip height: 0.75, shoulder height: 0.28
INFO:root:Fall detected at hip height: 0.77, shoulder height: 0.28
INFO:root:Fall detected at hip height: 0.77, shoulder height: 0.27
INFO:root:Fall detected at hip height: 0.77, shoulder height: 0.27
INFO:root:Fall detected at hip height: 0.76, shoulder height: 0.28
INFO:root:Fall detected at hip height: 0.86, shoulder height: 0.27
